2	1
2	0
3	2
3	1
4	2
4	3
5	2
5	4
6	5
6	4
7	5
7	1
8	5
8	2
9	7
9	1
10	1
10	4
11	10
11	1
12	8
12	10
13	12
13	4
14	0
14	1
15	0
15	5
16	4
16	14
17	3
17	14
18	1
18	5
19	17
19	10
20	4
20	13
21	17
21	5
22	12
22	8
23	15
23	22
24	5
24	0
25	11
25	8
26	13
26	17
27	12
27	22
28	5
28	16
29	15
29	24
30	13
30	28
31	30
31	8
32	25
32	3
33	2
33	7
34	6
34	31
35	24
35	29
36	10
36	28
37	36
37	8
38	26
38	28
39	14
39	24
40	14
40	31
41	37
41	24
42	33
42	19
43	31
43	36
44	0
44	32
45	13
45	34
46	44
46	8
47	39
47	15
48	26
48	10
49	34
49	32
50	29
50	25
51	18
51	35
52	11
52	47
53	48
53	37
54	50
54	40
55	43
55	1
56	14
56	36
57	42
57	47
58	26
58	8
59	19
59	35
60	59
60	49
61	57
61	48
62	42
62	7
63	14
63	18
64	60
64	20
65	57
65	29
66	41
66	52
67	21
67	2
68	53
68	6
69	15
69	1
70	52
70	35
71	41
71	18
72	4
72	53
73	38
73	45
74	6
74	24
75	40
75	21
76	22
76	41
77	49
77	55
78	60
78	10
79	66
79	35
80	5
80	20
81	27
81	41
82	24
82	62
83	47
83	58
84	20
84	37
85	12
85	60
86	52
86	60
87	28
87	61
88	24
88	44
89	78
89	23
90	69
90	37
91	35
91	0
92	13
92	34
93	54
93	71
94	2
94	58
95	66
95	25
96	28
96	71
97	8
97	38
98	24
98	93
99	26
99	93
0	82
0	32
1	28
1	71
