2	1
2	0
3	2
3	1
4	2
4	3
5	2
5	4
6	5
6	4
7	5
7	1
8	5
8	2
9	7
9	1
10	1
10	4
11	10
11	1
12	8
12	10
13	12
13	4
14	0
14	1
15	0
15	5
16	4
16	14
17	3
17	14
18	1
18	5
19	17
19	10
20	4
20	13
21	17
21	5
22	12
22	8
23	15
23	22
24	5
24	0
25	11
25	8
26	13
26	17
27	12
27	22
28	5
28	16
29	15
29	24
30	13
30	28
31	30
31	8
32	25
32	3
33	2
33	7
34	6
34	31
35	24
35	29
36	10
36	28
37	36
37	8
38	26
38	28
39	14
39	24
40	14
40	31
41	37
41	24
42	33
42	19
43	31
43	36
44	0
44	32
45	13
45	34
46	44
46	8
47	39
47	15
48	26
48	10
49	34
49	32
0	7
0	26
1	38
1	19
